,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J07 K07 Mezõnyárád,367,74,441,7,7,448,210,193,658,Borsod-Abaúj-Zemplén county,J07 K07 Mezõnyárád
J13 K12 Mezõzombor,503,113,616,14,14,630,233,205,863,Borsod-Abaúj-Zemplén county,J13 K12 Mezõzombor
J12 K11 Mikóháza,133,22,155,1,1,156,60,55,216,Borsod-Abaúj-Zemplén county,J12 K11 Mikóháza
J04 K01 Mogyoróska,19,1,20,.,.,20,22,22,42,Borsod-Abaúj-Zemplén county,J04 K01 Mogyoróska
J14 K13 Monaj,46,11,57,.,.,57,31,30,88,Borsod-Abaúj-Zemplén county,J14 K13 Monaj
J13 K12 Monok,334,98,432,8,7,440,262,236,702,Borsod-Abaúj-Zemplén county,J13 K12 Monok
J05 K05 Múcsony,632,181,813,23,22,836,396,353,1232,Borsod-Abaúj-Zemplén county,J05 K05 Múcsony
J15 K08 Muhi,123,14,137,4,4,141,51,48,192,Borsod-Abaúj-Zemplén county,J15 K08 Muhi
J05 K05 Nagybarca,194,46,240,7,7,247,98,83,345,Borsod-Abaúj-Zemplén county,J05 K05 Nagybarca
J15 K14 Nagycsécs,158,44,202,8,7,210,84,71,294,Borsod-Abaúj-Zemplén county,J15 K14 Nagycsécs
J12 K11 Nagyhuta,7,8,15,.,.,15,21,19,36,Borsod-Abaúj-Zemplén county,J12 K11 Nagyhuta
J14 K13 Nagykinizs,69,14,83,2,1,85,31,29,116,Borsod-Abaúj-Zemplén county,J14 K13 Nagykinizs
J01 K02 Nagyrozvágy,140,30,170,1,1,171,105,92,276,Borsod-Abaúj-Zemplén county,J01 K02 Nagyrozvágy
J07 K07 Négyes,49,14,63,1,1,64,74,71,138,Borsod-Abaúj-Zemplén county,J07 K07 Négyes
J09 K09 Nekézseny,187,42,229,2,2,231,113,104,344,Borsod-Abaúj-Zemplén county,J09 K09 Nekézseny
J15 K14 Nemesbikk,206,44,250,9,9,259,83,76,342,Borsod-Abaúj-Zemplén county,J15 K14 Nemesbikk
J03 K04 Novajidrány,270,78,348,10,10,358,133,117,491,Borsod-Abaúj-Zemplén county,J03 K04 Novajidrány
J14 K13 Nyésta,10,2,12,.,.,12,10,8,22,Borsod-Abaúj-Zemplén county,J14 K13 Nyésta
J12 K11 Nyíri,79,31,110,.,.,110,49,44,159,Borsod-Abaúj-Zemplén county,J12 K11 Nyíri
J02 K03 Nyomár,73,10,83,3,3,86,28,27,114,Borsod-Abaúj-Zemplén county,J02 K03 Nyomár
J11 K10 Olaszliszka,338,69,407,16,15,423,237,212,660,Borsod-Abaúj-Zemplén county,J11 K10 Olaszliszka
J08 K08 Onga,978,210,1188,52,43,1240,418,389,1658,Borsod-Abaúj-Zemplén county,J08 K08 Onga
J08 K08 Ónod,464,124,588,20,20,608,216,191,824,Borsod-Abaúj-Zemplén county,J08 K08 Ónod
J05 K05 Ormosbánya,308,97,405,2,2,407,238,221,645,Borsod-Abaúj-Zemplén county,J05 K05 Ormosbánya
J15 K14 Oszlár,92,15,107,1,1,108,53,48,161,Borsod-Abaúj-Zemplén county,J15 K14 Oszlár
J01 K02 Pácin,301,57,358,6,6,364,188,167,552,Borsod-Abaúj-Zemplén county,J01 K02 Pácin
J14 K04 Pamlény,9,1,10,1,1,11,9,9,20,Borsod-Abaúj-Zemplén county,J14 K04 Pamlény
J04 K01 Pányok,11,2,13,1,1,14,20,19,34,Borsod-Abaúj-Zemplén county,J04 K01 Pányok
J08 K08 Parasznya,262,46,308,9,9,317,132,118,449,Borsod-Abaúj-Zemplén county,J08 K08 Parasznya
J04 K04 Pere,55,27,82,.,.,82,54,48,136,Borsod-Abaúj-Zemplén county,J04 K04 Pere
J03 K04 Perecse,3,2,5,1,1,6,10,9,16,Borsod-Abaúj-Zemplén county,J03 K04 Perecse
J02 K03 Perkupa,173,26,199,6,6,205,115,105,320,Borsod-Abaúj-Zemplén county,J02 K03 Perkupa
J13 K12 Prügy,472,113,585,24,24,609,209,175,818,Borsod-Abaúj-Zemplén county,J13 K12 Prügy
J12 K11 Pusztafalu,45,11,56,1,1,57,35,33,92,Borsod-Abaúj-Zemplén county,J12 K11 Pusztafalu
J03 K04 Pusztaradvány,53,9,62,.,.,62,37,34,99,Borsod-Abaúj-Zemplén county,J03 K04 Pusztaradvány
J08 K08 Radostyán,138,31,169,4,3,173,58,53,231,Borsod-Abaúj-Zemplén county,J08 K08 Radostyán
J10 K05 Ragály,154,28,182,2,2,184,78,71,262,Borsod-Abaúj-Zemplén county,J10 K05 Ragály
J02 K03 Rakaca,151,31,182,7,6,189,45,41,234,Borsod-Abaúj-Zemplén county,J02 K03 Rakaca
J02 K03 Rakacaszend,64,23,87,4,4,91,39,37,130,Borsod-Abaúj-Zemplén county,J02 K03 Rakacaszend
J14 K13 Rásonysápberencs,108,21,129,10,8,139,49,43,188,Borsod-Abaúj-Zemplén county,J14 K13 Rásonysápberencs
J13 K12 Rátka,233,30,263,1,1,264,144,130,408,Borsod-Abaúj-Zemplén county,J13 K12 Rátka
J04 K01 Regéc,19,4,23,.,.,23,22,20,45,Borsod-Abaúj-Zemplén county,J04 K01 Regéc
J08 K08 Répáshuta,106,14,120,6,6,126,50,43,176,Borsod-Abaúj-Zemplén county,J08 K08 Répáshuta
J01 K02 Révleányvár,80,34,114,2,2,116,95,92,211,Borsod-Abaúj-Zemplén county,J01 K02 Révleányvár
J01 K02 Ricse,344,71,415,20,20,435,178,162,613,Borsod-Abaúj-Zemplén county,J01 K02 Ricse
J05 K05 Rudolftelep,137,68,205,1,.,206,78,64,284,Borsod-Abaúj-Zemplén county,J05 K05 Rudolftelep
J08 K08 Sajóecseg,242,53,295,1,1,296,130,117,426,Borsod-Abaúj-Zemplén county,J08 K08 Sajóecseg
J05 K05 Sajógalgóc,72,13,85,3,3,88,33,29,121,Borsod-Abaúj-Zemplén county,J05 K05 Sajógalgóc
J08 K08 Sajóhídvég,159,68,227,16,15,243,86,76,329,Borsod-Abaúj-Zemplén county,J08 K08 Sajóhídvég
J05 K05 Sajóivánka,150,24,174,2,2,176,51,47,227,Borsod-Abaúj-Zemplén county,J05 K05 Sajóivánka
J08 K08 Sajókápolna,73,27,100,2,2,102,46,43,148,Borsod-Abaúj-Zemplén county,J08 K08 Sajókápolna
J05 K05 Sajókaza,550,158,708,28,26,736,349,311,1085,Borsod-Abaúj-Zemplén county,J05 K05 Sajókaza
J08 K08 Sajókeresztúr,327,87,414,13,13,427,159,136,586,Borsod-Abaúj-Zemplén county,J08 K08 Sajókeresztúr
J08 K08 Sajólád,603,142,745,18,18,763,268,228,1031,Borsod-Abaúj-Zemplén county,J08 K08 Sajólád
J08 K08 Sajólászlófalva,89,17,106,.,.,106,54,49,160,Borsod-Abaúj-Zemplén county,J08 K08 Sajólászlófalva
J10 K09 Sajómercse,40,20,60,.,.,60,37,36,97,Borsod-Abaúj-Zemplén county,J10 K09 Sajómercse
J10 K09 Sajónémeti,108,24,132,4,4,136,66,56,202,Borsod-Abaúj-Zemplén county,J10 K09 Sajónémeti
J15 K14 Sajóörös,358,41,399,2,2,401,114,103,515,Borsod-Abaúj-Zemplén county,J15 K14 Sajóörös
J08 K08 Sajópálfala,158,47,205,4,4,209,92,80,301,Borsod-Abaúj-Zemplén county,J08 K08 Sajópálfala
J08 K08 Sajópetri,279,67,346,15,14,361,142,124,503,Borsod-Abaúj-Zemplén county,J08 K08 Sajópetri
J10 K09 Sajópüspöki,92,34,126,1,1,127,62,53,189,Borsod-Abaúj-Zemplén county,J10 K09 Sajópüspöki
J08 K08 Sajósenye,75,21,96,8,8,104,30,26,134,Borsod-Abaúj-Zemplén county,J08 K08 Sajósenye
J15 K14 Sajószöged,572,86,658,8,8,666,241,223,907,Borsod-Abaúj-Zemplén county,J15 K14 Sajószöged
J08 K08 Sajóvámos,456,113,569,17,16,586,258,227,844,Borsod-Abaúj-Zemplén county,J08 K08 Sajóvámos
J10 K09 Sajóvelezd,166,43,209,6,6,215,94,83,309,Borsod-Abaúj-Zemplén county,J10 K09 Sajóvelezd
J07 K07 Sály,350,78,428,27,24,455,170,149,625,Borsod-Abaúj-Zemplén county,J07 K07 Sály
J11 K10 Sárazsadány,44,8,52,4,4,56,56,53,112,Borsod-Abaúj-Zemplén county,J11 K10 Sárazsadány
J09 K09 Sáta,236,62,298,4,4,302,171,159,473,Borsod-Abaúj-Zemplén county,J09 K09 Sáta
J14 K13 Selyeb,97,16,113,5,5,118,47,46,165,Borsod-Abaúj-Zemplén county,J14 K13 Selyeb
J01 K02 Semjén,86,28,114,1,1,115,30,21,145,Borsod-Abaúj-Zemplén county,J01 K02 Semjén
J10 K09 Serényfalva,215,48,263,3,3,266,131,124,397,Borsod-Abaúj-Zemplén county,J10 K09 Serényfalva
J04 K01 Sima,4,2,6,.,.,6,6,6,12,Borsod-Abaúj-Zemplén county,J04 K01 Sima
J08 K12 Sóstófalva,49,10,59,2,2,61,25,25,86,Borsod-Abaúj-Zemplén county,J08 K12 Sóstófalva
J02 K03 Szakácsi,30,4,34,.,.,34,12,12,46,Borsod-Abaúj-Zemplén county,J02 K03 Szakácsi
J15 K14 Szakáld,87,28,115,2,2,117,61,56,178,Borsod-Abaúj-Zemplén county,J15 K14 Szakáld
J03 K04 Szalaszend,207,39,246,9,8,255,113,97,368,Borsod-Abaúj-Zemplén county,J03 K04 Szalaszend
J02 K03 Szalonna,204,66,270,5,5,275,141,133,416,Borsod-Abaúj-Zemplén county,J02 K03 Szalonna
J14 K04 Szászfa,25,11,36,1,1,37,19,18,56,Borsod-Abaúj-Zemplén county,J14 K04 Szászfa
J16 K15 Szegi,54,18,72,2,2,74,55,52,129,Borsod-Abaúj-Zemplén county,J16 K15 Szegi
J16 K15 Szegilong,43,15,58,.,.,58,29,24,87,Borsod-Abaúj-Zemplén county,J16 K15 Szegilong
J03 K04 Szemere,56,24,80,2,2,82,55,48,137,Borsod-Abaúj-Zemplén county,J03 K04 Szemere
J02 K03 Szendrõlád,296,45,341,44,36,385,72,61,457,Borsod-Abaúj-Zemplén county,J02 K03 Szendrõlád
J07 K07 Szentistván,589,100,689,17,17,706,350,307,1056,Borsod-Abaúj-Zemplén county,J07 K07 Szentistván
J14 K13 Szentistvánbaksa,47,13,60,3,2,63,41,39,104,Borsod-Abaúj-Zemplén county,J14 K13 Szentistvánbaksa
J02 K03 Szin,160,21,181,2,2,183,38,31,221,Borsod-Abaúj-Zemplén county,J02 K03 Szin
J02 K03 Szinpetri,47,10,57,2,2,59,34,31,93,Borsod-Abaúj-Zemplén county,J02 K03 Szinpetri
J08 K08 Szirmabesenyõ,1003,204,1207,32,32,1239,457,416,1696,Borsod-Abaúj-Zemplén county,J08 K08 Szirmabesenyõ
J07 K07 Szomolya,354,74,428,14,14,442,210,181,652,Borsod-Abaúj-Zemplén county,J07 K07 Szomolya
J02 K03 Szögliget,151,34,185,.,.,185,102,95,287,Borsod-Abaúj-Zemplén county,J02 K03 Szögliget
J02 K03 Szõlõsardó,22,3,25,.,.,25,36,34,61,Borsod-Abaúj-Zemplén county,J02 K03 Szõlõsardó
J10 K05 Szuhafõ,32,9,41,.,.,41,23,22,64,Borsod-Abaúj-Zemplén county,J10 K05 Szuhafõ
J05 K05 Szuhakálló,227,55,282,1,1,283,106,90,389,Borsod-Abaúj-Zemplén county,J05 K05 Szuhakálló
J02 K03 Szuhogy,233,58,291,9,8,300,202,191,502,Borsod-Abaúj-Zemplén county,J02 K03 Szuhogy
J16 K15 Taktabáj,108,31,139,7,7,146,48,41,194,Borsod-Abaúj-Zemplén county,J16 K15 Taktabáj
J13 K12 Taktaharkány,734,201,935,25,24,960,422,371,1382,Borsod-Abaúj-Zemplén county,J13 K12 Taktaharkány
J13 K12 Taktakenéz,214,36,250,27,22,277,106,96,383,Borsod-Abaúj-Zemplén county,J13 K12 Taktakenéz
J13 K12 Taktaszada,349,126,475,13,13,488,242,229,730,Borsod-Abaúj-Zemplén county,J13 K12 Taktaszada
J04 K12 Tállya,413,118,531,2,2,533,315,278,848,Borsod-Abaúj-Zemplén county,J04 K12 Tállya
J16 K15 Tarcal,607,183,790,4,4,794,471,437,1265,Borsod-Abaúj-Zemplén county,J16 K15 Tarcal
J07 K07 Tard,295,54,349,6,6,355,169,152,524,Borsod-Abaúj-Zemplén county,J07 K07 Tard
J05 K05 Tardona,229,51,280,7,6,287,158,141,445,Borsod-Abaúj-Zemplén county,J05 K05 Tardona
J04 K01 Telkibánya,118,21,139,6,6,145,100,93,245,Borsod-Abaúj-Zemplén county,J04 K01 Telkibánya
J02 K03 Teresztenye,2,1,3,.,.,3,12,11,15,Borsod-Abaúj-Zemplén county,J02 K03 Teresztenye
J07 K07 Tibolddaróc,296,73,369,6,6,375,220,202,595,Borsod-Abaúj-Zemplén county,J07 K07 Tibolddaróc
J07 K06 Tiszabábolna,70,19,89,2,2,91,104,100,195,Borsod-Abaúj-Zemplén county,J07 K06 Tiszabábolna
J01 K02 Tiszacsermely,97,28,125,7,7,132,51,46,183,Borsod-Abaúj-Zemplén county,J01 K02 Tiszacsermely
J06 K06 Tiszadorogma,74,26,100,2,2,102,59,51,161,Borsod-Abaúj-Zemplén county,J06 K06 Tiszadorogma
J01 K02 Tiszakarád,521,117,638,7,7,645,249,226,894,Borsod-Abaúj-Zemplén county,J01 K02 Tiszakarád
J06 K06 Tiszakeszi,528,161,689,14,14,703,326,299,1029,Borsod-Abaúj-Zemplén county,J06 K06 Tiszakeszi
J16 K15 Tiszaladány,157,27,184,2,2,186,81,77,267,Borsod-Abaúj-Zemplén county,J16 K15 Tiszaladány
J13 K12 Tiszalúc,1028,281,1309,41,40,1350,590,528,1940,Borsod-Abaúj-Zemplén county,J13 K12 Tiszalúc
J15 K14 Tiszapalkonya,328,67,395,6,6,401,183,168,584,Borsod-Abaúj-Zemplén county,J15 K14 Tiszapalkonya
J16 K15 Tiszatardos,45,10,55,2,2,57,43,38,100,Borsod-Abaúj-Zemplén county,J16 K15 Tiszatardos
J06 K06 Tiszatarján,304,75,379,2,2,381,141,131,522,Borsod-Abaúj-Zemplén county,J06 K06 Tiszatarján
J07 K06 Tiszavalk,59,17,76,3,3,79,46,42,125,Borsod-Abaúj-Zemplén county,J07 K06 Tiszavalk
J11 K10 Tolcsva,391,92,483,1,1,484,249,216,733,Borsod-Abaúj-Zemplén county,J11 K10 Tolcsva
J02 K03 Tomor,46,8,54,3,3,57,49,45,106,Borsod-Abaúj-Zemplén county,J02 K03 Tomor
J02 K03 Tornabarakony,1,.,1,.,.,1,11,11,12,Borsod-Abaúj-Zemplén county,J02 K03 Tornabarakony
J02 K03 Tornakápolna,2,.,2,.,.,2,5,5,7,Borsod-Abaúj-Zemplén county,J02 K03 Tornakápolna
J02 K03 Tornanádaska,117,23,140,1,1,141,21,18,162,Borsod-Abaúj-Zemplén county,J02 K03 Tornanádaska
J02 K03 Tornaszentandrás,42,14,56,.,.,56,45,40,101,Borsod-Abaúj-Zemplén county,J02 K03 Tornaszentandrás
J02 K03 Tornaszentjakab,48,8,56,.,.,56,28,27,84,Borsod-Abaúj-Zemplén county,J02 K03 Tornaszentjakab
J04 K01 Tornyosnémeti,99,25,124,2,2,126,79,74,205,Borsod-Abaúj-Zemplén county,J04 K01 Tornyosnémeti
J10 K05 Trizs,47,15,62,1,1,63,35,33,98,Borsod-Abaúj-Zemplén county,J10 K05 Trizs
J08 K12 Újcsanálos,177,36,213,5,5,218,76,64,294,Borsod-Abaúj-Zemplén county,J08 K12 Újcsanálos
J09 K09 Uppony,64,7,71,2,2,73,76,71,149,Borsod-Abaúj-Zemplén county,J09 K09 Uppony
J05 K05 Vadna,152,26,178,7,6,185,56,53,241,Borsod-Abaúj-Zemplén county,J05 K05 Vadna
J12 K11 Vágáshuta,13,3,16,.,.,16,23,20,39,Borsod-Abaúj-Zemplén county,J12 K11 Vágáshuta
J11 K10 Vajdácska,269,61,330,6,6,336,175,153,511,Borsod-Abaúj-Zemplén county,J11 K10 Vajdácska
J11 K10 Vámosújfalu,173,44,217,3,2,220,103,94,323,Borsod-Abaúj-Zemplén county,J11 K10 Vámosújfalu
J08 K08 Varbó,235,51,286,12,12,298,119,102,417,Borsod-Abaúj-Zemplén county,J08 K08 Varbó
J02 K03 Varbóc,7,2,9,.,.,9,21,20,30,Borsod-Abaúj-Zemplén county,J02 K03 Varbóc
J07 K07 Vatta,210,50,260,3,3,263,98,87,361,Borsod-Abaúj-Zemplén county,J07 K07 Vatta
J04 K01 Vilmány,273,77,350,5,5,355,92,74,447,Borsod-Abaúj-Zemplén county,J04 K01 Vilmány
J12 K11 Vilyvitány,36,19,55,1,1,56,50,45,106,Borsod-Abaúj-Zemplén county,J12 K11 Vilyvitány
J11 K10 Viss,116,52,168,2,2,170,104,91,274,Borsod-Abaúj-Zemplén county,J11 K10 Viss
J02 K03 Viszló,17,1,18,.,.,18,9,8,27,Borsod-Abaúj-Zemplén county,J02 K03 Viszló
J04 K01 Vizsoly,155,41,196,5,5,201,116,103,317,Borsod-Abaúj-Zemplén county,J04 K01 Vizsoly
J10 K05 Zádorfalva,87,26,113,3,3,116,47,42,163,Borsod-Abaúj-Zemplén county,J10 K05 Zádorfalva
J11 K10 Zalkod,42,9,51,.,.,51,68,61,119,Borsod-Abaúj-Zemplén county,J11 K10 Zalkod
J01 K02 Zemplénagárd,173,44,217,1,1,218,121,113,339,Borsod-Abaúj-Zemplén county,J01 K02 Zemplénagárd
J02 K03 Ziliz,78,16,94,4,4,98,19,18,117,Borsod-Abaúj-Zemplén county,J02 K03 Ziliz
J10 K05 Zubogy,145,24,169,.,.,169,55,50,224,Borsod-Abaúj-Zemplén county,J10 K05 Zubogy
J04 K01 Zsujta,29,6,35,3,2,38,29,26,67,Borsod-Abaúj-Zemplén county,J04 K01 Zsujta
County total,139975,37218,177193,3436,3257,180629,92006,83422,272635,Borsod-Abaúj-Zemplén county,County total
Towns of county right,41390,13179,54569,593,580,55162,39506,36456,94668,Csongrád county,Towns of county right
Other towns,21058,5711,26769,370,364,27139,15405,14278,42544,Csongrád county,Other towns
Towns together,62448,18890,81338,963,944,82301,54911,50734,137212,Csongrád county,Towns together
Villages,22638,4737,27375,576,565,27951,13162,12013,41113,Csongrád county,Villages
County total,85086,23627,108713,1539,1509,110252,68073,62747,178325,Csongrád county,County total
Districts,,,,,,,,,,Csongrád county,Districts
J01 Csongrádi,4787,1282,6069,74,73,6143,3748,3469,9891,Csongrád county,J01 Csongrádi
J02 Hódmezõvásárhelyi,11639,3343,14982,241,236,15223,8357,7734,23580,Csongrád county,J02 Hódmezõvásárhelyi
J03 Kisteleki,3911,829,4740,122,120,4862,2507,2289,7369,Csongrád county,J03 Kisteleki
J04 Makói,9676,2490,12166,152,148,12318,7138,6609,19456,Csongrád county,J04 Makói
J05 Mórahalmi,6245,1323,7568,175,171,7743,3545,3244,11288,Csongrád county,J05 Mórahalmi
J06 Szegedi,40129,12033,52162,626,615,52788,36583,33697,89371,Csongrád county,J06 Szegedi
J07 Szentesi,8699,2327,11026,149,146,11175,6195,5705,17370,Csongrád county,J07 Szentesi
Statistical micro-regions,,,,,,,,,,Csongrád county,Statistical micro-regions
K01 Csongrádi,4787,1282,6069,74,73,6143,3748,3469,9891,Csongrád county,K01 Csongrádi
K02 Hódmezõvásárhelyi,11639,3343,14982,241,236,15223,8357,7734,23580,Csongrád county,K02 Hódmezõvásárhelyi
K03 Kisteleki,3911,829,4740,122,120,4862,2507,2289,7369,Csongrád county,K03 Kisteleki
K04 Makói,9912,2553,12465,163,159,12628,7274,6726,19902,Csongrád county,K04 Makói
K05 Mórahalomi,5486,1186,6672,155,151,6827,3213,2935,10040,Csongrád county,K05 Mórahalomi
K06 Szegedi,40652,12107,52759,635,624,53394,36779,33889,90173,Csongrád county,K06 Szegedi
K07 Szentesi,8699,2327,11026,149,146,11175,6195,5705,17370,Csongrád county,K07 Szentesi
Size-groups of population,,,,,,,,,,Csongrád county,Size-groups of population
Towns,,,,,,,,,,Csongrád county,Towns
Together,62448,18890,81338,963,944,82301,54911,50734,137212,Csongrád county,Together
Villages,,,,,,,,,,Csongrád county,Villages
  199 and less,.,.,.,.,.,.,.,.,.,Csongrád county,  199 and less
Together,22638,4737,27375,576,565,27951,13162,12013,41113,Csongrád county,Together
Total,85086,23627,108713,1539,1509,110252,68073,62747,178325,Csongrád county,Total
Of which:,,,,,,,,,,Csongrád county,Of which:
Data of localities,,,,,,,,,,Csongrád county,Data of localities
County seat,,,,,,,,,,Csongrád county,County seat
J06 K06 Szeged,32014,10382,42396,417,409,42813,32666,30122,75479,Csongrád county,J06 K06 Szeged
Other town of county right,,,,,,,,,,Csongrád county,Other town of county right
J02 K02 Hódmezõvásárhely,9376,2797,12173,176,171,12349,6840,6334,19189,Csongrád county,J02 K02 Hódmezõvásárhely
Other towns,,,,,,,,,,Csongrád county,Other towns
J04 K04 Csanádpalota,576,206,782,5,5,787,544,508,1331,Csongrád county,J04 K04 Csanádpalota
J01 K01 Csongrád,3514,1005,4519,51,50,4570,2870,2663,7440,Csongrád county,J01 K01 Csongrád
J03 K03 Kistelek,1508,369,1877,30,30,1907,1053,977,2960,Csongrád county,J03 K03 Kistelek
J04 K04 Makó,5047,1349,6396,74,72,6470,3853,3577,10323,Csongrád county,J04 K04 Makó
J02 K02 Mindszent,1463,375,1838,47,47,1885,1044,969,2929,Csongrád county,J02 K02 Mindszent
J05 K05 Mórahalom,1276,276,1552,29,28,1581,670,618,2251,Csongrád county,J05 K05 Mórahalom
J06 K06 Sándorfalva,1793,381,2174,43,43,2217,911,846,3128,Csongrád county,J06 K06 Sándorfalva
J07 K07 Szentes,5881,1750,7631,91,89,7722,4460,4120,12182,Csongrád county,J07 K07 Szentes
Villages,,,,,,,,,,Csongrád county,Villages
J06 K06 Algyõ,1159,237,1396,22,22,1418,581,521,1999,Csongrád county,J06 K06 Algyõ
J04 K04 Ambrózfalva,104,31,135,1,1,136,76,69,212,Csongrád county,J04 K04 Ambrózfalva
J04 K04 Apátfalva,663,154,817,13,13,830,524,491,1354,Csongrád county,J04 K04 Apátfalva
J07 K07 Árpádhalom,113,30,143,.,.,143,75,62,218,Csongrád county,J07 K07 Árpádhalom
J05 K05 Ásotthalom,815,188,1003,21,21,1024,543,474,1567,Csongrád county,J05 K05 Ásotthalom
J03 K03 Baks,428,101,529,19,19,548,261,235,809,Csongrád county,J03 K03 Baks
J03 K03 Balástya,765,145,910,37,36,947,453,408,1400,Csongrád county,J03 K03 Balástya
J05 K05 Bordány,721,145,866,20,20,886,388,355,1274,Csongrád county,J05 K05 Bordány
J04 K04 Csanádalberti,100,20,120,2,2,122,82,72,204,Csongrád county,J04 K04 Csanádalberti
J01 K01 Csanytelek,574,146,720,12,12,732,441,402,1173,Csongrád county,J01 K01 Csanytelek
J03 K03 Csengele,475,60,535,13,12,548,264,238,812,Csongrád county,J03 K03 Csengele
J07 K07 Derekegyház,335,85,420,1,1,421,217,196,638,Csongrád county,J07 K07 Derekegyház
J06 K06 Deszk,822,152,974,25,25,999,292,262,1291,Csongrád county,J06 K06 Deszk
J06 K06 Dóc,161,38,199,3,3,202,83,80,285,Csongrád county,J06 K06 Dóc
J06 K06 Domaszék,1124,206,1330,31,29,1361,434,388,1795,Csongrád county,J06 K06 Domaszék
J07 K07 Eperjes,111,29,140,6,5,146,97,88,243,Csongrád county,J07 K07 Eperjes
J07 K07 Fábiánsebestyén,495,79,574,12,12,586,253,235,839,Csongrád county,J07 K07 Fábiánsebestyén
J01 K01 Felgyõ,297,60,357,7,7,364,145,130,509,Csongrád county,J01 K01 Felgyõ
J06 K04 Ferencszállás,141,32,173,9,9,182,76,66,258,Csongrád county,J06 K04 Ferencszállás
J05 K05 Forráskút,498,102,600,15,15,615,261,239,876,Csongrád county,J05 K05 Forráskút
J04 K04 Földeák,705,157,862,9,9,871,426,399,1297,Csongrád county,J04 K04 Földeák
J04 K04 Királyhegyes,149,30,179,2,2,181,98,87,279,Csongrád county,J04 K04 Királyhegyes
J04 K04 Kiszombor,864,218,1082,23,22,1105,466,417,1571,Csongrád county,J04 K04 Kiszombor
J06 K04 Klárafalva,95,31,126,2,2,128,60,51,188,Csongrád county,J06 K04 Klárafalva
J04 K04 Kövegy,74,19,93,.,.,93,70,62,163,Csongrád county,J04 K04 Kövegy
J06 K06 Kübekháza,323,82,405,5,5,410,174,158,584,Csongrád county,J06 K06 Kübekháza
J04 K04 Magyarcsanád,309,84,393,5,4,398,249,228,647,Csongrád county,J04 K04 Magyarcsanád
J04 K04 Maroslele,467,91,558,13,13,571,291,268,862,Csongrád county,J04 K04 Maroslele
J02 K02 Mártély,281,71,352,6,6,358,154,144,512,Csongrád county,J02 K02 Mártély
J04 K04 Nagyér,105,18,123,1,1,124,80,72,204,Csongrád county,J04 K04 Nagyér
J04 K04 Nagylak,111,29,140,.,.,140,107,103,247,Csongrád county,J04 K04 Nagylak
J07 K07 Nagymágocs,642,112,754,18,18,772,376,344,1148,Csongrád county,J07 K07 Nagymágocs
J07 K07 Nagytõke,89,22,111,.,.,111,92,90,203,Csongrád county,J07 K07 Nagytõke
J04 K04 Óföldeák,73,18,91,.,.,91,64,60,155,Csongrád county,J04 K04 Óföldeák
J03 K03 Ópusztaszer,414,88,502,12,12,514,237,219,751,Csongrád county,J03 K03 Ópusztaszer
J05 K05 Öttömös,163,33,196,1,1,197,92,90,289,Csongrád county,J05 K05 Öttömös
J04 K04 Pitvaros,329,66,395,4,4,399,208,196,607,Csongrád county,J04 K04 Pitvaros
J05 K05 Pusztamérges,248,55,303,6,6,309,204,188,513,Csongrád county,J05 K05 Pusztamérges
J03 K03 Pusztaszer,321,66,387,11,11,398,239,212,637,Csongrád county,J03 K03 Pusztaszer
J06 K06 Röszke,702,125,827,20,19,847,374,349,1221,Csongrád county,J06 K06 Röszke
J05 K05 Ruzsa,501,140,641,18,18,659,327,301,986,Csongrád county,J05 K05 Ruzsa
J06 K06 Szatymaz,1033,222,1255,33,33,1288,593,546,1881,Csongrád county,J06 K06 Szatymaz
J07 K07 Szegvár,1033,220,1253,21,21,1274,625,570,1899,Csongrád county,J07 K07 Szegvár
J02 K02 Székkutas,519,100,619,12,12,631,319,287,950,Csongrád county,J02 K02 Székkutas
J06 K06 Tiszasziget,367,65,432,16,16,448,177,157,625,Csongrád county,J06 K06 Tiszasziget
J01 K01 Tömörkény,402,71,473,4,4,477,292,274,769,Csongrád county,J01 K01 Tömörkény
J06 K06 Újszentiván,395,80,475,.,.,475,162,151,637,Csongrád county,J06 K06 Újszentiván
J05 K05 Üllés,647,135,782,15,14,797,460,423,1257,Csongrád county,J05 K05 Üllés
J05 K05 Zákányszék,617,112,729,30,28,759,268,247,1027,Csongrád county,J05 K05 Zákányszék
J05 K06 Zsombó,759,137,896,20,20,916,332,309,1248,Csongrád county,J05 K06 Zsombó
County total,85086,23627,108713,1539,1509,110252,68073,62747,178325,Csongrád county,County total
Towns of county right,31967,8776,40743,433,424,41176,23747,22001,64923,Fejér county,Towns of county right
Other towns,21658,4692,26350,706,680,27056,10849,9817,37905,Fejér county,Other towns
Towns together,53625,13468,67093,1139,1104,68232,34596,31818,102828,Fejér county,Towns together
Villages,38483,7506,45989,1411,1367,47400,18216,16374,65616,Fejér county,Villages
County total,92108,20974,113082,2550,2471,115632,52812,48192,168444,Fejér county,County total
Districts,,,,,,,,,,Fejér county,Districts
J01 Bicskei,7376,1559,8935,278,263,9213,3499,3143,12712,Fejér county,J01 Bicskei
J02 Dunaújvárosi,20205,4998,25203,397,385,25600,13853,12744,39453,Fejér county,J02 Dunaújvárosi
J03 Enyingi,2710,616,3326,143,142,3469,1404,1242,4873,Fejér county,J03 Enyingi
