,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J09 K06 Nyíracsád,858,156,1014,18,18,1032,424,390,1456,Hajdú-Bihar county,J09 K06 Nyíracsád
J09 K06 Nyírmártonfalva,437,99,536,10,10,546,246,219,792,Hajdú-Bihar county,J09 K06 Nyírmártonfalva
J04 K02 Pocsaj,539,125,664,5,5,669,284,262,953,Hajdú-Bihar county,J04 K02 Pocsaj
J10 K09 Sáp,197,41,238,5,5,243,104,93,347,Hajdú-Bihar county,J10 K09 Sáp
J04 K04 Sáránd,502,92,594,11,11,605,262,233,867,Hajdú-Bihar county,J04 K04 Sáránd
J10 K09 Sárrétudvari,677,121,798,4,4,802,326,303,1128,Hajdú-Bihar county,J10 K09 Sárrétudvari
J02 K02 Szentpéterszeg,248,52,300,7,7,307,144,134,451,Hajdú-Bihar county,J02 K02 Szentpéterszeg
J10 K09 Szerep,273,56,329,7,7,336,155,143,491,Hajdú-Bihar county,J10 K09 Szerep
J04 K02 Tépe,226,39,265,10,9,275,107,100,382,Hajdú-Bihar county,J04 K02 Tépe
J10 K09 Tetétlen,288,75,363,3,3,366,160,137,526,Hajdú-Bihar county,J10 K09 Tetétlen
J07 K08 Tiszagyulaháza,166,35,201,5,5,206,100,92,306,Hajdú-Bihar county,J07 K08 Tiszagyulaháza
J02 K02 Told,48,17,65,4,4,69,31,28,100,Hajdú-Bihar county,J02 K02 Told
J02 K02 Újiráz,119,27,146,1,1,147,88,83,235,Hajdú-Bihar county,J02 K02 Újiráz
J09 K06 Újléta,219,41,260,4,4,264,135,122,399,Hajdú-Bihar county,J09 K06 Újléta
J01 K08 Újszentmargita,345,62,407,12,12,419,187,171,606,Hajdú-Bihar county,J01 K08 Újszentmargita
J07 K08 Újtikos,200,43,243,5,5,248,128,117,376,Hajdú-Bihar county,J07 K08 Újtikos
J02 K02 Váncsod,287,51,338,2,2,340,150,131,490,Hajdú-Bihar county,J02 K02 Váncsod
J02 K02 Vekerd,28,5,33,1,1,34,34,32,68,Hajdú-Bihar county,J02 K02 Vekerd
J02 K02 Zsáka,347,84,431,2,1,433,238,232,671,Hajdú-Bihar county,J02 K02 Zsáka
County total,114999,27730,142729,1985,1933,144714,74827,68657,219541,Hajdú-Bihar county,County total
Towns of county right,11523,3128,14651,142,141,14793,9556,8851,24349,Heves county,Towns of county right
Other towns,18096,4617,22713,443,417,23156,11699,10635,34855,Heves county,Other towns
Towns together,29619,7745,37364,585,558,37949,21255,19486,59204,Heves county,Towns together
Villages,36902,7595,44497,1103,1064,45600,22244,20239,67844,Heves county,Villages
County total,66521,15340,81861,1688,1622,83549,43499,39725,127048,Heves county,County total
Districts,,,,,,,,,,Heves county,Districts
J01 Bélapátfalvai,1923,437,2360,51,51,2411,1257,1131,3668,Heves county,J01 Bélapátfalvai
J02 Egri,18482,4526,23008,330,322,23338,13307,12258,36645,Heves county,J02 Egri
J03 Füzesabonyi,6337,1430,7767,224,215,7991,3975,3572,11966,Heves county,J03 Füzesabonyi
J04 Gyöngyösi,16244,3816,20060,366,354,20426,10616,9749,31042,Heves county,J04 Gyöngyösi
J05 Hatvani,11190,2616,13806,339,329,14145,6866,6204,21011,Heves county,J05 Hatvani
J06 Hevesi,7471,1518,8989,268,246,9257,4119,3729,13376,Heves county,J06 Hevesi
J07 Pétervásárai,4874,997,5871,110,105,5981,3359,3082,9340,Heves county,J07 Pétervásárai
Statistical micro-regions,,,,,,,,,,Heves county,Statistical micro-regions
K01 Bélapátfalvai,2644,625,3269,68,68,3337,1774,1592,5111,Heves county,K01 Bélapátfalvai
K02 Egri,17761,4338,22099,313,305,22412,12790,11797,35202,Heves county,K02 Egri
K03 Füzesabonyi,6337,1430,7767,224,215,7991,3975,3572,11966,Heves county,K03 Füzesabonyi
K04 Gyöngyösi,16244,3816,20060,366,354,20426,10616,9749,31042,Heves county,K04 Gyöngyösi
K05 Hatvani,11190,2616,13806,339,329,14145,6866,6204,21011,Heves county,K05 Hatvani
K06 Hevesi,7471,1518,8989,268,246,9257,4119,3729,13376,Heves county,K06 Hevesi
K07 Pétervásárai,4874,997,5871,110,105,5981,3359,3082,9340,Heves county,K07 Pétervásárai
Size-groups of population,,,,,,,,,,Heves county,Size-groups of population
Towns,,,,,,,,,,Heves county,Towns
Together,29619,7745,37364,585,558,37949,21255,19486,59204,Heves county,Together
Villages,,,,,,,,,,Heves county,Villages
  199 and less,26,7,33,1,1,34,29,28,63,Heves county,  199 and less
Together,36902,7595,44497,1103,1064,45600,22244,20239,67844,Heves county,Together
Total,66521,15340,81861,1688,1622,83549,43499,39725,127048,Heves county,Total
Of which:,,,,,,,,,,Heves county,Of which:
Data of localities,,,,,,,,,,Heves county,Data of localities
County seat,,,,,,,,,,Heves county,County seat
J02 K02 Eger,11523,3128,14651,142,141,14793,9556,8851,24349,Heves county,J02 K02 Eger
Other towns,,,,,,,,,,Heves county,Other towns
J01 K01 Bélapátfalva,635,146,781,12,12,793,381,341,1174,Heves county,J01 K01 Bélapátfalva
J03 K03 Füzesabony,1656,359,2015,52,48,2067,909,807,2976,Heves county,J03 K03 Füzesabony
J04 K04 Gyöngyös,6707,1909,8616,90,86,8706,5126,4735,13832,Heves county,J04 K04 Gyöngyös
J05 K05 Hatvan,4427,1155,5582,130,124,5712,2711,2427,8423,Heves county,J05 K05 Hatvan
J06 K06 Heves,2310,485,2795,96,84,2891,1145,1046,4036,Heves county,J06 K06 Heves
J06 K06 Kisköre,659,126,785,9,9,794,390,354,1184,Heves county,J06 K06 Kisköre
J05 K05 Lõrinci,1214,312,1526,41,41,1567,725,643,2292,Heves county,J05 K05 Lõrinci
J07 K07 Pétervására,488,125,613,13,13,626,312,282,938,Heves county,J07 K07 Pétervására
Villages,,,,,,,,,,Heves county,Villages
J04 K04 Abasár,565,128,693,20,20,713,350,323,1063,Heves county,J04 K04 Abasár
J04 K04 Adács,605,130,735,11,11,746,391,351,1137,Heves county,J04 K04 Adács
J03 K03 Aldebrõ,175,27,202,4,4,206,89,85,295,Heves county,J03 K03 Aldebrõ
J02 K02 Andornaktálya,646,116,762,5,5,767,316,279,1083,Heves county,J02 K02 Andornaktálya
J05 K05 Apc,535,123,658,23,23,681,372,330,1053,Heves county,J05 K05 Apc
J06 K06 Átány,290,61,351,14,14,365,159,137,524,Heves county,J06 K06 Átány
J04 K04 Atkár,404,84,488,11,11,499,199,177,698,Heves county,J04 K04 Atkár
J01 K01 Balaton,238,56,294,7,7,301,169,145,470,Heves county,J01 K01 Balaton
J02 K01 Bátor,78,20,98,3,3,101,59,51,160,Heves county,J02 K01 Bátor
J01 K01 Bekölce,140,35,175,6,6,181,115,110,296,Heves county,J01 K01 Bekölce
J03 K03 Besenyõtelek,558,135,693,16,16,709,323,284,1032,Heves county,J03 K03 Besenyõtelek
J06 K06 Boconád,298,62,360,6,6,366,195,173,561,Heves county,J06 K06 Boconád
J07 K07 Bodony,186,35,221,1,1,222,142,136,364,Heves county,J07 K07 Bodony
J05 K05 Boldog,692,125,817,24,22,841,334,305,1175,Heves county,J05 K05 Boldog
J07 K07 Bükkszék,189,33,222,4,4,226,153,147,379,Heves county,J07 K07 Bükkszék
J07 K07 Bükkszenterzsébet,250,57,307,5,5,312,146,131,458,Heves county,J07 K07 Bükkszenterzsébet
J01 K01 Bükkszentmárton,66,15,81,3,3,84,46,41,130,Heves county,J01 K01 Bükkszentmárton
J05 K05 Csány,463,113,576,7,7,583,311,285,894,Heves county,J05 K05 Csány
J02 K02 Demjén,127,22,149,3,3,152,99,90,251,Heves county,J02 K02 Demjén
J04 K04 Detk,250,57,307,6,6,313,175,160,488,Heves county,J04 K04 Detk
J04 K04 Domoszló,471,75,546,7,7,553,298,276,851,Heves county,J04 K04 Domoszló
J03 K03 Dormánd,232,45,277,8,8,285,110,105,395,Heves county,J03 K03 Dormánd
J05 K05 Ecséd,717,154,871,20,20,891,460,411,1351,Heves county,J05 K05 Ecséd
J02 K02 Egerbakta,300,87,387,15,14,402,146,128,548,Heves county,J02 K02 Egerbakta
J02 K01 Egerbocs,137,27,164,6,6,170,72,62,242,Heves county,J02 K01 Egerbocs
J02 K01 Egercsehi,291,88,379,2,2,381,243,222,624,Heves county,J02 K01 Egercsehi
J03 K03 Egerfarmos,135,37,172,4,4,176,119,108,295,Heves county,J03 K03 Egerfarmos
J02 K02 Egerszalók,442,80,522,11,11,533,183,171,716,Heves county,J02 K02 Egerszalók
J02 K02 Egerszólát,228,50,278,6,6,284,131,121,415,Heves county,J02 K02 Egerszólát
J07 K07 Erdõkövesd,146,30,176,6,6,182,98,88,280,Heves county,J07 K07 Erdõkövesd
J06 K06 Erdõtelek,726,147,873,21,20,894,413,374,1307,Heves county,J06 K06 Erdõtelek
J06 K06 Erk,172,44,216,9,9,225,86,71,311,Heves county,J06 K06 Erk
J07 K07 Fedémes,74,14,88,2,2,90,51,46,141,Heves county,J07 K07 Fedémes
J02 K02 Feldebrõ,209,67,276,4,4,280,189,171,469,Heves county,J02 K02 Feldebrõ
J02 K02 Felsõtárkány,817,145,962,17,17,979,317,291,1296,Heves county,J02 K02 Felsõtárkány
J04 K04 Gyöngyöshalász,620,115,735,18,16,753,264,247,1017,Heves county,J04 K04 Gyöngyöshalász
J04 K04 Gyöngyösoroszi,301,63,364,26,25,390,158,139,548,Heves county,J04 K04 Gyöngyösoroszi
J04 K04 Gyöngyöspata,562,104,666,19,18,685,325,295,1010,Heves county,J04 K04 Gyöngyöspata
J04 K04 Gyöngyössolymos,727,117,844,9,8,853,338,314,1191,Heves county,J04 K04 Gyöngyössolymos
J04 K04 Gyöngyöstarján,573,99,672,15,15,687,281,262,968,Heves county,J04 K04 Gyöngyöstarján
J04 K04 Halmajugra,203,82,285,11,10,296,146,135,442,Heves county,J04 K04 Halmajugra
J05 K05 Heréd,444,80,524,20,20,544,222,198,766,Heves county,J05 K05 Heréd
J02 K01 Hevesaranyos,137,39,176,2,2,178,89,82,267,Heves county,J02 K01 Hevesaranyos
J06 K06 Hevesvezekény,150,23,173,2,2,175,84,77,259,Heves county,J06 K06 Hevesvezekény
J05 K05 Hort,857,159,1016,25,24,1041,504,464,1545,Heves county,J05 K05 Hort
J07 K07 Istenmezeje,417,55,472,15,13,487,258,233,745,Heves county,J07 K07 Istenmezeje
J07 K07 Ivád,72,22,94,.,.,94,69,57,163,Heves county,J07 K07 Ivád
J03 K03 Kál,712,166,878,24,22,902,409,367,1311,Heves county,J03 K03 Kál
J03 K03 Kápolna,358,69,427,5,5,432,172,155,604,Heves county,J03 K03 Kápolna
J04 K04 Karácsond,668,151,819,17,17,836,393,356,1229,Heves county,J04 K04 Karácsond
J02 K02 Kerecsend,430,67,497,46,41,543,166,154,709,Heves county,J02 K02 Kerecsend
J05 K05 Kerekharaszt,201,38,239,12,11,251,93,79,344,Heves county,J05 K05 Kerekharaszt
J07 K07 Kisfüzes,26,7,33,1,1,34,29,28,63,Heves county,J07 K07 Kisfüzes
J04 K04 Kisnána,235,47,282,3,3,285,186,178,471,Heves county,J04 K04 Kisnána
J03 K03 Kompolt,408,94,502,16,15,518,232,211,750,Heves county,J03 K03 Kompolt
J06 K06 Kömlõ,353,83,436,20,17,456,173,154,629,Heves county,J06 K06 Kömlõ
J04 K04 Ludas,160,51,211,4,4,215,131,117,346,Heves county,J04 K04 Ludas
J02 K02 Maklár,580,85,665,9,9,674,273,243,947,Heves county,J02 K02 Maklár
J04 K04 Markaz,459,75,534,5,5,539,253,240,792,Heves county,J04 K04 Markaz
J07 K07 Mátraballa,190,34,224,5,4,229,141,127,370,Heves county,J07 K07 Mátraballa
J07 K07 Mátraderecske,467,83,550,10,10,560,318,294,878,Heves county,J07 K07 Mátraderecske
J04 K04 Mátraszentimre,98,22,120,.,.,120,81,74,201,Heves county,J04 K04 Mátraszentimre
J03 K03 Mezõszemere,215,62,277,13,13,290,235,215,525,Heves county,J03 K03 Mezõszemere
J03 K03 Mezõtárkány,299,82,381,15,14,396,216,189,612,Heves county,J03 K03 Mezõtárkány
J01 K01 Mikófalva,168,39,207,6,6,213,105,91,318,Heves county,J01 K01 Mikófalva
J01 K01 Mónosbél,73,16,89,1,1,90,51,47,141,Heves county,J01 K01 Mónosbél
J04 K04 Nagyfüged,350,68,418,10,10,428,226,211,654,Heves county,J04 K04 Nagyfüged
J05 K05 Nagykökényes,148,30,178,2,2,180,67,60,247,Heves county,J05 K05 Nagykökényes
J04 K04 Nagyréde,728,123,851,32,30,883,325,284,1208,Heves county,J04 K04 Nagyréde
J02 K02 Nagytálya,213,39,252,2,2,254,106,97,360,Heves county,J02 K02 Nagytálya
J03 K03 Nagyút,161,29,190,10,10,200,100,89,300,Heves county,J03 K03 Nagyút
J01 K01 Nagyvisnyó,238,44,282,3,3,285,158,145,443,Heves county,J01 K01 Nagyvisnyó
J02 K02 Noszvaj,386,74,460,13,12,473,221,210,694,Heves county,J02 K02 Noszvaj
J02 K02 Novaj,306,65,371,5,5,376,173,156,549,Heves county,J02 K02 Novaj
J02 K02 Ostoros,621,104,725,14,14,739,268,239,1007,Heves county,J02 K02 Ostoros
J04 K04 Pálosvörösmart,164,23,187,1,1,188,71,66,259,Heves county,J04 K04 Pálosvörösmart
J07 K07 Parád,438,98,536,5,5,541,323,291,864,Heves county,J07 K07 Parád
J07 K07 Parádsasvár,106,15,121,1,1,122,85,79,207,Heves county,J07 K07 Parádsasvár
J06 K06 Pély,295,71,366,6,6,372,205,187,577,Heves county,J06 K06 Pély
J05 K05 Petõfibánya,606,148,754,6,6,760,539,517,1299,Heves county,J05 K05 Petõfibánya
J03 K03 Poroszló,639,131,770,28,27,798,442,404,1240,Heves county,J03 K03 Poroszló
J07 K07 Recsk,607,152,759,11,11,770,450,416,1220,Heves county,J07 K07 Recsk
J05 K05 Rózsaszentmárton,455,75,530,16,16,546,287,261,833,Heves county,J05 K05 Rózsaszentmárton
J03 K03 Sarud,241,47,288,12,12,300,190,171,490,Heves county,J03 K03 Sarud
J07 K07 Sirok,446,96,542,6,6,548,301,275,849,Heves county,J07 K07 Sirok
J07 K07 Szajla,137,16,153,3,3,156,75,68,231,Heves county,J07 K07 Szajla
J02 K02 Szarvaskõ,77,19,96,1,1,97,57,56,154,Heves county,J02 K02 Szarvaskõ
J07 K07 Szentdomonkos,96,21,117,4,4,121,69,67,190,Heves county,J07 K07 Szentdomonkos
J03 K03 Szihalom,391,103,494,9,9,503,311,276,814,Heves county,J03 K03 Szihalom
J01 K01 Szilvásvárad,365,86,451,13,13,464,232,211,696,Heves county,J01 K01 Szilvásvárad
J02 K01 Szúcs,78,14,92,4,4,96,54,44,150,Heves county,J02 K01 Szúcs
J04 K04 Szûcsi,339,74,413,27,27,440,188,170,628,Heves county,J04 K04 Szûcsi
J06 K06 Tarnabod,116,29,145,8,8,153,35,32,188,Heves county,J06 K06 Tarnabod
J07 K07 Tarnalelesz,387,67,454,14,13,468,227,209,695,Heves county,J07 K07 Tarnalelesz
J06 K06 Tarnaméra,394,65,459,11,11,470,194,178,664,Heves county,J06 K06 Tarnaméra
J06 K06 Tarnaörs,407,53,460,15,13,475,203,174,678,Heves county,J06 K06 Tarnaörs
J02 K02 Tarnaszentmária,42,10,52,2,2,54,61,56,115,Heves county,J02 K02 Tarnaszentmária
J06 K06 Tarnaszentmiklós,190,35,225,4,4,229,146,138,375,Heves county,J06 K06 Tarnaszentmiklós
J06 K06 Tarnazsadány,229,60,289,17,16,306,133,116,439,Heves county,J06 K06 Tarnazsadány
J06 K06 Tenk,271,56,327,5,5,332,156,143,488,Heves county,J06 K06 Tenk
J07 K07 Terpes,46,14,60,.,.,60,31,31,91,Heves county,J07 K07 Terpes
J06 K06 Tiszanána,521,104,625,24,21,649,306,284,955,Heves county,J06 K06 Tiszanána
